# wave number [cm^-1];  intensity;  intensity^2
3322.62;  4.5677E-08;  2.08639E-15
3333.47;  3.65466E-08;  1.33565E-15
3344.33;  2.80253E-08;  7.8542E-16
3355.19;  2.33796E-08;  5.46607E-16
3366.05;  2.57203E-08;  6.61533E-16
3376.91;  3.6509E-08;  1.33291E-15
3387.77;  5.48175E-08;  3.00496E-15
3398.62;  7.77653E-08;  6.04744E-15
3409.48;  1.01919E-07;  1.03875E-14
3420.34;  1.24872E-07;  1.5593E-14
3431.2;  1.46046E-07;  2.13295E-14
3442.06;  1.66123E-07;  2.75969E-14
3452.92;  1.85294E-07;  3.4334E-14
3463.77;  2.01321E-07;  4.053E-14
3474.63;  2.08784E-07;  4.35909E-14
3485.49;  2.00578E-07;  4.02314E-14
3496.35;  1.71663E-07;  2.94682E-14
3507.21;  1.23892E-07;  1.53491E-14
3518.06;  6.97285E-08;  4.86206E-15
3528.92;  3.26958E-08;  1.06902E-15
3539.78;  4.33525E-08;  1.87944E-15
3550.64;  1.3133E-07;  1.72477E-14
3561.5;  3.15709E-07;  9.9672E-14
3572.36;  5.96987E-07;  3.56393E-13
3583.21;  9.53633E-07;  9.09416E-13
3594.07;  1.34473E-06;  1.80831E-12
3604.93;  1.71814E-06;  2.95201E-12
3615.79;  2.02168E-06;  4.0872E-12
3626.65;  2.21414E-06;  4.9024E-12
3637.5;  2.27318E-06;  5.16735E-12
3648.36;  2.19888E-06;  4.83509E-12
3659.22;  2.01301E-06;  4.0522E-12
3670.08;  1.75545E-06;  3.08161E-12
3680.94;  1.47921E-06;  2.18807E-12
3691.8;  1.2445E-06;  1.54879E-12
3702.65;  1.11176E-06;  1.23601E-12
3713.51;  1.13293E-06;  1.28354E-12
3724.37;  1.34121E-06;  1.79884E-12
3735.23;  1.74091E-06;  3.03077E-12
3746.09;  2.30075E-06;  5.29345E-12
3756.95;  2.95413E-06;  8.72691E-12
3767.8;  3.60883E-06;  1.30237E-11
3778.66;  4.16538E-06;  1.73504E-11
3789.52;  4.54003E-06;  2.06119E-11
3800.38;  4.68553E-06;  2.19542E-11
3811.24;  4.60282E-06;  2.1186E-11
3822.09;  4.33926E-06;  1.88292E-11
3832.95;  3.97364E-06;  1.57898E-11
3843.81;  3.59324E-06;  1.29114E-11
3854.67;  3.271E-06;  1.06995E-11
3865.53;  3.05096E-06;  9.30837E-12
3876.39;  2.9463E-06;  8.68068E-12
3887.24;  2.9492E-06;  8.69777E-12
3898.1;  3.04649E-06;  9.28111E-12
3908.96;  3.23277E-06;  1.04508E-11
3919.82;  3.51402E-06;  1.23484E-11
3930.68;  3.89939E-06;  1.52052E-11
3941.53;  4.38468E-06;  1.92254E-11
3952.39;  4.93569E-06;  2.43611E-11
3963.25;  5.4804E-06;  3.00348E-11
3974.11;  5.91622E-06;  3.50016E-11
3984.97;  6.13236E-06;  3.76059E-11
3995.83;  6.04103E-06;  3.64941E-11
4006.68;  5.60675E-06;  3.14357E-11
4017.54;  4.86314E-06;  2.36501E-11
4028.4;  3.91029E-06;  1.52903E-11
4039.26;  2.89273E-06;  8.36787E-12
4050.12;  1.96446E-06;  3.85911E-12
4060.98;  1.25201E-06;  1.56754E-12
4071.83;  8.26524E-07;  6.83142E-13
4082.69;  6.92486E-07;  4.79537E-13
4093.55;  7.94824E-07;  6.31744E-13
4104.41;  1.04025E-06;  1.08212E-12
4115.27;  1.32506E-06;  1.75579E-12
4126.12;  1.56079E-06;  2.43608E-12
4136.98;  1.69131E-06;  2.86052E-12
4147.84;  1.69858E-06;  2.88518E-12
4158.7;  1.59823E-06;  2.55434E-12
4169.56;  1.42829E-06;  2.04002E-12
4180.42;  1.23562E-06;  1.52677E-12
4191.27;  1.06358E-06;  1.13121E-12
4202.13;  9.43195E-07;  8.89616E-13
4212.99;  8.88643E-07;  7.89686E-13
4223.85;  8.96849E-07;  8.04338E-13
4234.71;  9.50503E-07;  9.03455E-13
4245.56;  1.0236E-06;  1.04776E-12
4256.42;  1.08837E-06;  1.18454E-12
4267.28;  1.12208E-06;  1.25906E-12
4278.14;  1.1123E-06;  1.23721E-12
4289;  1.0591E-06;  1.12168E-12
4299.86;  9.73556E-07;  9.47811E-13
4310.71;  8.7315E-07;  7.62392E-13
4321.57;  7.75424E-07;  6.01282E-13
4332.43;  6.92248E-07;  4.79207E-13
4343.29;  6.2661E-07;  3.9264E-13
4354.15;  5.73029E-07;  3.28363E-13
4365.01;  5.21173E-07;  2.71621E-13
4375.86;  4.61116E-07;  2.12628E-13
4386.72;  3.88021E-07;  1.5056E-13
4397.58;  3.04391E-07;  9.26541E-14
4408.44;  2.19153E-07;  4.80281E-14
4419.3;  1.44107E-07;  2.07669E-14
4430.15;  8.93841E-08;  7.98951E-15
4441.01;  5.97854E-08;  3.57429E-15
4451.87;  5.34029E-08;  2.85187E-15
4462.73;  6.28487E-08;  3.94996E-15
4473.59;  7.8347E-08;  6.13826E-15
4484.45;  9.12632E-08;  8.32897E-15
4495.3;  9.66443E-08;  9.34013E-15
4506.16;  9.39334E-08;  8.82348E-15
4517.02;  8.59015E-08;  7.37907E-15
4527.88;  7.65713E-08;  5.86317E-15
4538.74;  6.92115E-08;  4.79023E-15
4549.6;  6.52618E-08;  4.25911E-15
4560.45;  6.44561E-08;  4.15459E-15
4571.31;  6.57833E-08;  4.32744E-15
4582.17;  6.85427E-08;  4.6981E-15
4593.03;  7.27924E-08;  5.29873E-15
4603.89;  7.88986E-08;  6.22499E-15
4614.74;  8.6465E-08;  7.47619E-15
4625.6;  9.33431E-08;  8.71294E-15
4636.46;  9.54974E-08;  9.11975E-15
4647.32;  8.81537E-08;  7.77108E-15
4658.18;  6.80328E-08;  4.62846E-15
4669.04;  3.58518E-08;  1.28535E-15
4679.89;  -2.04961E-09;  4.20092E-18
4690.75;  -3.39485E-08;  1.1525E-15
4701.61;  -4.52138E-08;  2.04429E-15
4712.47;  -2.25088E-08;  5.06645E-16
