# Tau [ps];  Dipole autocorrelation
0.2015000018;  1.260778365E-07
0.2020000018;  1.196930671E-07
0.2025000018;  1.092509640E-07
0.2030000018;  9.239854146E-08
0.2035000018;  9.056556529E-08
0.2040000018;  1.000602284E-07
0.2045000018;  9.203044870E-08
0.2050000018;  8.148864643E-08
0.2055000018;  7.330552555E-08
0.2060000018;  6.700254010E-08
0.2065000018;  7.923669576E-08
0.2070000018;  9.687990261E-08
0.2075000018;  1.105221287E-07
0.2080000018;  1.228723526E-07
0.2085000018;  1.317904906E-07
0.2090000018;  1.336435501E-07
0.2095000018;  1.156930286E-07
0.2100000018;  7.801238324E-08
0.2105000018;  5.015597973E-08
0.2110000018;  5.352476991E-08
0.2115000018;  6.909050007E-08
0.2120000018;  8.385328269E-08
0.2125000018;  9.839696840E-08
0.2130000019;  9.653519594E-08
0.2135000019;  8.382470992E-08
0.2140000019;  7.668538594E-08
0.2145000019;  7.296158522E-08
0.2150000019;  6.772600509E-08
0.2155000019;  6.106300681E-08
0.2160000019;  5.668061477E-08
0.2165000019;  5.761523551E-08
0.2170000019;  6.370419260E-08
0.2175000019;  7.194595181E-08
0.2180000019;  7.895598444E-08
0.2185000019;  8.251938287E-08
0.2190000019;  8.379388205E-08
0.2195000019;  8.616803938E-08
0.2200000019;  8.894948315E-08
0.2205000019;  8.463521462E-08
0.2210000019;  6.895644909E-08
0.2215000019;  5.028083582E-08
0.2220000019;  3.846900734E-08
0.2225000019;  3.454584152E-08
0.2230000019;  3.448578398E-08
0.2235000019;  3.474744406E-08
0.2240000019;  3.673379139E-08
0.2245000020;  4.432684920E-08
0.2250000020;  5.742751344E-08
0.2255000020;  7.135528180E-08
0.2260000020;  8.020656419E-08
0.2265000020;  8.154814429E-08
0.2270000020;  7.829352068E-08
0.2275000020;  7.453007658E-08
0.2280000020;  7.217558151E-08
0.2285000020;  6.897780813E-08
0.2290000020;  6.068415048E-08
0.2295000020;  5.435825957E-08
0.2300000020;  6.503480606E-08
0.2305000020;  7.725680893E-08
0.2310000020;  6.361255306E-08
0.2315000020;  3.930979022E-08
0.2320000020;  2.899417308E-08
0.2325000020;  3.771745795E-08
0.2330000020;  5.901531311E-08
0.2335000020;  7.357848753E-08
0.2340000020;  7.123048022E-08
0.2345000020;  5.567229815E-08
0.2350000020;  3.716336591E-08
0.2355000020;  2.570260602E-08
0.2360000021;  2.182040189E-08
0.2365000021;  1.563656171E-08
0.2370000021;  6.598437441E-09
0.2375000021;  5.988626013E-09
0.2380000021;  2.308685065E-09
0.2385000021;  -5.500318671E-09
0.2390000021;  -2.818587909E-09
0.2395000021;  -3.307128530E-10
0.2400000021;  -3.043604258E-09
0.2405000021;  -3.839388726E-09
0.2410000021;  -3.699058054E-09
0.2415000021;  -5.542443449E-09
0.2420000021;  -1.106423383E-08
0.2425000021;  -2.102507886E-08
0.2430000021;  -3.654114774E-08
0.2435000021;  -5.750247248E-08
0.2440000021;  -7.868368436E-08
0.2445000021;  -9.335042080E-08
0.2450000021;  -9.539429708E-08
0.2455000021;  -8.094249237E-08
0.2460000021;  -5.834895423E-08
0.2465000021;  -4.154140946E-08
0.2470000021;  -3.558761546E-08
0.2475000022;  -3.756494689E-08
0.2480000022;  -4.253945678E-08
0.2485000022;  -4.709834668E-08
0.2490000022;  -4.961615124E-08
0.2495000022;  -4.830160476E-08
0.2500000022;  -4.259048298E-08
0.2505000022;  -3.529142320E-08
0.2510000022;  -2.795567290E-08
0.2515000022;  -1.933564475E-08
0.2520000022;  -1.067147658E-08
0.2525000022;  -4.489024391E-09
0.2530000022;  3.055913839E-10
0.2535000022;  6.216926361E-09
0.2540000022;  1.326554264E-08
0.2545000022;  1.837177935E-08
0.2550000022;  1.485588970E-08
0.2555000022;  5.408685944E-10
0.2560000022;  -1.528429299E-08
0.2565000022;  -2.588772034E-08
0.2570000022;  -3.979560803E-08
0.2575000022;  -4.720891076E-08
0.2580000022;  -2.752879779E-08
0.2585000022;  -9.799392005E-10
0.2590000023;  8.096558068E-09
0.2595000023;  9.939396039E-10
0.2600000023;  -1.500231045E-08
0.2605000023;  -3.319880991E-08
0.2610000023;  -5.082003080E-08
